item_id,format,difficulty_as_shipped,answer_position,pair_group,reference_answer
fire360-mcq-033,multiple_choice,very hard,1,fire360-pair-033,"50"
fire360-free-033,free_text,very hard,,fire360-pair-033,"50"
fire360-mcq-034,multiple_choice,very hard,0,fire360-pair-034,"Rescue"
fire360-free-034,free_text,very hard,,fire360-pair-034,"Rescue"
fire360-mcq-035,multiple_choice,very hard,2,fire360-pair-035,"500"
fire360-free-035,free_text,very hard,,fire360-pair-035,"500"
fire360-mcq-036,multiple_choice,very hard,0,fire360-pair-036,"Bowline"
fire360-free-036,free_text,very hard,,fire360-pair-036,"Bowline"
fire360-mcq-037,multiple_choice,very hard,0,fire360-pair-037,"Foam application"
fire360-free-037,free_text,very hard,,fire360-pair-037,"Foam application"
fire360-mcq-038,multiple_choice,very hard,0,fire360-pair-038,"Reciprocating Saw"
fire360-free-038,free_text,very hard,,fire360-pair-038,"Reciprocating Saw"
fire360-mcq-039,multiple_choice,very hard,2,fire360-pair-039,"3000"
fire360-free-039,free_text,very hard,,fire360-pair-039,"3000"
fire360-mcq-040,multiple_choice,very hard,0,fire360-pair-040,"Overhaul"
fire360-free-040,free_text,very hard,,fire360-pair-040,"Overhaul"
fire360-mcq-041,multiple_choice,very hard,1,fire360-pair-041,"2.5"
fire360-free-041,free_text,very hard,,fire360-pair-041,"2.5"
fire360-mcq-042,multiple_choice,very hard,0,fire360-pair-042,"Halligan Bar"
fire360-free-042,free_text,very hard,,fire360-pair-042,"Halligan Bar"
fire360-mcq-043,multiple_choice,very hard,1,fire360-pair-043,"Evacuate immediately"
fire360-free-043,free_text,very hard,,fire360-pair-043,"Evacuate immediately"
fire360-mcq-044,multiple_choice,very hard,0,fire360-pair-044,"Alarm"
fire360-free-044,free_text,very hard,,fire360-pair-044,"Alarm"
fire360-mcq-045,multiple_choice,very hard,2,fire360-pair-045,"40"
fire360-free-045,free_text,very hard,,fire360-pair-045,"40"
fire360-mcq-046,multiple_choice,very hard,0,fire360-pair-046,"Rescue"
fire360-free-046,free_text,very hard,,fire360-pair-046,"Rescue"
fire360-mcq-047,multiple_choice,very hard,2,fire360-pair-047,"100"
fire360-free-047,free_text,very hard,,fire360-pair-047,"100"
fire360-mcq-048,multiple_choice,very hard,0,fire360-pair-048,"Shoring Strut"
fire360-free-048,free_text,very hard,,fire360-pair-048,"Shoring Strut"
fire360-mcq-049,multiple_choice,very hard,1,fire360-pair-049,"Evacuate and isolate"
fire360-free-049,free_text,very hard,,fire360-pair-049,"Evacuate and isolate"
fire360-mcq-050,multiple_choice,very hard,0,fire360-pair-050,"Sheet Bend"
fire360-free-050,free_text,very hard,,fire360-pair-050,"Sheet Bend"
