item_id,incident_id,incident_name,state,start_year,report_date,target_date,target_personnel,baseline_persistence,day_of_run,run_length
alloc-2015_2737676_TERKAM COMM-2015-05-27,2015_2737676_TERKAM COMM,Terkam Comm,FL,2015,2015-05-27,2015-05-28,1.0,1.0,5,11
alloc-2015_2737676_TERKAM COMM-2015-05-28,2015_2737676_TERKAM COMM,Terkam Comm,FL,2015,2015-05-28,2015-05-29,1.0,1.0,6,11
alloc-2015_2737676_TERKAM COMM-2015-05-29,2015_2737676_TERKAM COMM,Terkam Comm,FL,2015,2015-05-29,2015-05-30,1.0,1.0,7,11
alloc-2015_2737676_TERKAM COMM-2015-05-30,2015_2737676_TERKAM COMM,Terkam Comm,FL,2015,2015-05-30,2015-05-31,1.0,1.0,8,11
alloc-2015_2737676_TERKAM COMM-2015-06-01,2015_2737676_TERKAM COMM,Terkam Comm,FL,2015,2015-06-01,2015-06-02,1.0,1.0,10,11
alloc-2015_2738266_CARD STREET-2015-06-24,2015_2738266_CARD STREET,Card Street,AK,2015,2015-06-24,2015-06-25,218.0,218.0,4,19
alloc-2015_2738266_CARD STREET-2015-06-26,2015_2738266_CARD STREET,Card Street,AK,2015,2015-06-26,2015-06-27,139.0,162.0,6,19
alloc-2015_2738266_CARD STREET-2015-06-29,2015_2738266_CARD STREET,Card Street,AK,2015,2015-06-29,2015-06-30,70.0,102.0,9,19
alloc-2015_2738266_CARD STREET-2015-07-02,2015_2738266_CARD STREET,Card Street,AK,2015,2015-07-02,2015-07-03,23.0,23.0,12,19
alloc-2015_2738266_CARD STREET-2015-07-05,2015_2738266_CARD STREET,Card Street,AK,2015,2015-07-05,2015-07-06,11.0,6.0,15,19
alloc-2015_2738266_CARD STREET-2015-07-08,2015_2738266_CARD STREET,Card Street,AK,2015,2015-07-08,2015-07-09,5.0,12.0,18,19
alloc-2015_2738932_RED CANYON-2015-06-28,2015_2738932_RED CANYON,Red Canyon,NM,2015,2015-06-28,2015-06-29,65.0,85.0,4,13
alloc-2015_2738932_RED CANYON-2015-06-29,2015_2738932_RED CANYON,Red Canyon,NM,2015,2015-06-29,2015-06-30,85.0,65.0,5,13
alloc-2015_2738932_RED CANYON-2015-07-01,2015_2738932_RED CANYON,Red Canyon,NM,2015,2015-07-01,2015-07-02,58.0,65.0,7,13
alloc-2015_2738932_RED CANYON-2015-07-02,2015_2738932_RED CANYON,Red Canyon,NM,2015,2015-07-02,2015-07-03,58.0,58.0,8,13
alloc-2015_2738932_RED CANYON-2015-07-04,2015_2738932_RED CANYON,Red Canyon,NM,2015,2015-07-04,2015-07-05,56.0,56.0,10,13
alloc-2015_2738932_RED CANYON-2015-07-06,2015_2738932_RED CANYON,Red Canyon,NM,2015,2015-07-06,2015-07-07,52.0,52.0,12,13
alloc-2015_2741085_TETLIN HILLS-2015-07-10,2015_2741085_TETLIN HILLS,Tetlin Hills,AK,2015,2015-07-10,2015-07-11,109.0,95.0,4,29
alloc-2015_2741085_TETLIN HILLS-2015-07-14,2015_2741085_TETLIN HILLS,Tetlin Hills,AK,2015,2015-07-14,2015-07-15,64.0,92.0,8,29
alloc-2015_2741085_TETLIN HILLS-2015-07-19,2015_2741085_TETLIN HILLS,Tetlin Hills,AK,2015,2015-07-19,2015-07-20,97.0,97.0,13,29
alloc-2015_2741085_TETLIN HILLS-2015-07-24,2015_2741085_TETLIN HILLS,Tetlin Hills,AK,2015,2015-07-24,2015-07-25,28.0,47.0,18,29
alloc-2015_2741085_TETLIN HILLS-2015-07-29,2015_2741085_TETLIN HILLS,Tetlin Hills,AK,2015,2015-07-29,2015-07-30,2.0,4.0,23,29
alloc-2015_2741085_TETLIN HILLS-2015-08-03,2015_2741085_TETLIN HILLS,Tetlin Hills,AK,2015,2015-08-03,2015-08-04,2.0,3.0,28,29
alloc-2015_2749560_STOUTS CREEK-2015-08-03,2015_2749560_STOUTS CREEK,STOUTS CREEK,OR,2015,2015-08-03,2015-08-04,1140.0,1080.0,4,34
alloc-2015_2749560_STOUTS CREEK-2015-08-08,2015_2749560_STOUTS CREEK,STOUTS CREEK,OR,2015,2015-08-08,2015-08-09,1512.0,1377.0,9,34
alloc-2015_2749560_STOUTS CREEK-2015-08-14,2015_2749560_STOUTS CREEK,STOUTS CREEK,OR,2015,2015-08-14,2015-08-15,985.0,1065.0,15,34
alloc-2015_2749560_STOUTS CREEK-2015-08-20,2015_2749560_STOUTS CREEK,STOUTS CREEK,OR,2015,2015-08-20,2015-08-21,486.0,584.0,21,34
alloc-2015_2749560_STOUTS CREEK-2015-08-26,2015_2749560_STOUTS CREEK,STOUTS CREEK,OR,2015,2015-08-26,2015-08-27,288.0,288.0,27,34
alloc-2015_2749560_STOUTS CREEK-2015-09-01,2015_2749560_STOUTS CREEK,STOUTS CREEK,OR,2015,2015-09-01,2015-09-02,155.0,210.0,33,34
alloc-2015_2757157_BALDY-2015-08-05,2015_2757157_BALDY,BALDY,WA,2015,2015-08-05,2015-08-06,217.0,215.0,4,15
alloc-2015_2757157_BALDY-2015-08-07,2015_2757157_BALDY,BALDY,WA,2015,2015-08-07,2015-08-08,233.0,220.0,6,15
alloc-2015_2757157_BALDY-2015-08-09,2015_2757157_BALDY,BALDY,WA,2015,2015-08-09,2015-08-10,261.0,261.0,8,15
alloc-2015_2757157_BALDY-2015-08-11,2015_2757157_BALDY,BALDY,WA,2015,2015-08-11,2015-08-12,264.0,244.0,10,15
alloc-2015_2757157_BALDY-2015-08-13,2015_2757157_BALDY,BALDY,WA,2015,2015-08-13,2015-08-14,230.0,203.0,12,15
alloc-2015_2757157_BALDY-2015-08-15,2015_2757157_BALDY,BALDY,WA,2015,2015-08-15,2015-08-16,121.0,122.0,14,15
alloc-2015_2760788_BALD KNOB-2015-08-07,2015_2760788_BALD KNOB,BALD KNOB,NC,2015,2015-08-07,2015-08-08,45.0,40.0,4,14
alloc-2015_2760788_BALD KNOB-2015-08-08,2015_2760788_BALD KNOB,BALD KNOB,NC,2015,2015-08-08,2015-08-09,61.0,45.0,5,14
alloc-2015_2760788_BALD KNOB-2015-08-10,2015_2760788_BALD KNOB,BALD KNOB,NC,2015,2015-08-10,2015-08-11,74.0,61.0,7,14
alloc-2015_2760788_BALD KNOB-2015-08-12,2015_2760788_BALD KNOB,BALD KNOB,NC,2015,2015-08-12,2015-08-13,85.0,112.0,9,14
alloc-2015_2760788_BALD KNOB-2015-08-14,2015_2760788_BALD KNOB,BALD KNOB,NC,2015,2015-08-14,2015-08-15,78.0,81.0,11,14
alloc-2015_2760788_BALD KNOB-2015-08-16,2015_2760788_BALD KNOB,BALD KNOB,NC,2015,2015-08-16,2015-08-17,60.0,58.0,13,14
alloc-2015_2765524_PHILLIPS CREEK-2015-08-05,2015_2765524_PHILLIPS CREEK,Phillips Creek,OR,2015,2015-08-05,2015-08-06,297.0,243.0,4,15
alloc-2015_2765524_PHILLIPS CREEK-2015-08-07,2015_2765524_PHILLIPS CREEK,Phillips Creek,OR,2015,2015-08-07,2015-08-08,269.0,296.0,6,15
alloc-2015_2765524_PHILLIPS CREEK-2015-08-09,2015_2765524_PHILLIPS CREEK,Phillips Creek,OR,2015,2015-08-09,2015-08-10,227.0,241.0,8,15
alloc-2015_2765524_PHILLIPS CREEK-2015-08-11,2015_2765524_PHILLIPS CREEK,Phillips Creek,OR,2015,2015-08-11,2015-08-12,137.0,179.0,10,15
alloc-2015_2765524_PHILLIPS CREEK-2015-08-13,2015_2765524_PHILLIPS CREEK,Phillips Creek,OR,2015,2015-08-13,2015-08-14,149.0,144.0,12,15
alloc-2015_2765524_PHILLIPS CREEK-2015-08-15,2015_2765524_PHILLIPS CREEK,Phillips Creek,OR,2015,2015-08-15,2015-08-16,71.0,144.0,14,15
alloc-2015_2766495_PARADISE-2015-06-24,2015_2766495_PARADISE,PARADISE,WA,2015,2015-06-24,2015-06-25,38.0,34.0,4,10
alloc-2015_2766495_PARADISE-2015-06-25,2015_2766495_PARADISE,PARADISE,WA,2015,2015-06-25,2015-06-26,34.0,38.0,5,10
alloc-2015_2766495_PARADISE-2015-06-26,2015_2766495_PARADISE,PARADISE,WA,2015,2015-06-26,2015-06-27,32.0,34.0,6,10
alloc-2015_2766495_PARADISE-2015-06-27,2015_2766495_PARADISE,PARADISE,WA,2015,2015-06-27,2015-06-28,36.0,32.0,7,10
alloc-2015_2766495_PARADISE-2015-06-28,2015_2766495_PARADISE,PARADISE,WA,2015,2015-06-28,2015-06-29,38.0,36.0,8,10
alloc-2015_2766495_PARADISE-2015-06-29,2015_2766495_PARADISE,PARADISE,WA,2015,2015-06-29,2015-06-30,32.0,38.0,9,10
alloc-2015_2766495_PARADISE-2015-07-05,2015_2766495_PARADISE,PARADISE,WA,2015,2015-07-05,2015-07-06,25.0,38.0,4,13
alloc-2015_2766495_PARADISE-2015-07-06,2015_2766495_PARADISE,PARADISE,WA,2015,2015-07-06,2015-07-07,25.0,25.0,5,13
alloc-2015_2766495_PARADISE-2015-07-08,2015_2766495_PARADISE,PARADISE,WA,2015,2015-07-08,2015-07-09,23.0,26.0,7,13
alloc-2015_2766495_PARADISE-2015-07-09,2015_2766495_PARADISE,PARADISE,WA,2015,2015-07-09,2015-07-10,34.0,23.0,8,13
alloc-2015_2766495_PARADISE-2015-07-11,2015_2766495_PARADISE,PARADISE,WA,2015,2015-07-11,2015-07-12,48.0,48.0,10,13
alloc-2015_2766495_PARADISE-2015-07-13,2015_2766495_PARADISE,PARADISE,WA,2015,2015-07-13,2015-07-14,46.0,50.0,12,13
alloc-2015_2768252_SOLITUDE-2015-07-30,2015_2768252_SOLITUDE,Solitude,UT,2015,2015-07-30,2015-07-31,72.0,71.0,4,16
alloc-2015_2768252_SOLITUDE-2015-08-01,2015_2768252_SOLITUDE,Solitude,UT,2015,2015-08-01,2015-08-02,82.0,85.0,6,16
alloc-2015_2768252_SOLITUDE-2015-08-03,2015_2768252_SOLITUDE,Solitude,UT,2015,2015-08-03,2015-08-04,63.0,65.0,8,16
alloc-2015_2768252_SOLITUDE-2015-08-05,2015_2768252_SOLITUDE,Solitude,UT,2015,2015-08-05,2015-08-06,62.0,62.0,10,16
alloc-2015_2768252_SOLITUDE-2015-08-07,2015_2768252_SOLITUDE,Solitude,UT,2015,2015-08-07,2015-08-08,62.0,62.0,12,16
alloc-2015_2768252_SOLITUDE-2015-08-10,2015_2768252_SOLITUDE,Solitude,UT,2015,2015-08-10,2015-08-11,7.0,55.0,15,16
alloc-2015_2776766_PARKER RIDGE-2015-08-08,2015_2776766_PARKER RIDGE,Parker Ridge,ID,2015,2015-08-08,2015-08-09,32.0,33.0,4,24
alloc-2015_2776766_PARKER RIDGE-2015-08-11,2015_2776766_PARKER RIDGE,Parker Ridge,ID,2015,2015-08-11,2015-08-12,40.0,34.0,7,24
alloc-2015_2776766_PARKER RIDGE-2015-08-15,2015_2776766_PARKER RIDGE,Parker Ridge,ID,2015,2015-08-15,2015-08-16,96.0,66.0,11,24
alloc-2015_2776766_PARKER RIDGE-2015-08-19,2015_2776766_PARKER RIDGE,Parker Ridge,ID,2015,2015-08-19,2015-08-20,78.0,78.0,15,24
alloc-2015_2776766_PARKER RIDGE-2015-08-23,2015_2776766_PARKER RIDGE,Parker Ridge,ID,2015,2015-08-23,2015-08-24,88.0,62.0,19,24
alloc-2015_2776766_PARKER RIDGE-2015-08-27,2015_2776766_PARKER RIDGE,Parker Ridge,ID,2015,2015-08-27,2015-08-28,81.0,83.0,23,24
alloc-2015_2778213_REYNOLDS-2015-07-25,2015_2778213_REYNOLDS,Reynolds,MT,2015,2015-07-25,2015-07-26,227.0,223.0,4,20
alloc-2015_2778213_REYNOLDS-2015-07-28,2015_2778213_REYNOLDS,Reynolds,MT,2015,2015-07-28,2015-07-29,220.0,222.0,7,20
alloc-2015_2778213_REYNOLDS-2015-07-31,2015_2778213_REYNOLDS,Reynolds,MT,2015,2015-07-31,2015-08-01,219.0,219.0,10,20
alloc-2015_2778213_REYNOLDS-2015-08-03,2015_2778213_REYNOLDS,Reynolds,MT,2015,2015-08-03,2015-08-04,150.0,157.0,13,20
alloc-2015_2778213_REYNOLDS-2015-08-06,2015_2778213_REYNOLDS,Reynolds,MT,2015,2015-08-06,2015-08-07,141.0,158.0,16,20
alloc-2015_2778213_REYNOLDS-2015-08-09,2015_2778213_REYNOLDS,Reynolds,MT,2015,2015-08-09,2015-08-10,100.0,102.0,19,20
alloc-2015_2789124_NATIONAL CREEK COMPLEX-2015-08-07,2015_2789124_NATIONAL CREEK COMPLEX,National Creek Complex,OR,2015,2015-08-07,2015-08-08,100.0,99.0,4,49
alloc-2015_2789124_NATIONAL CREEK COMPLEX-2015-08-15,2015_2789124_NATIONAL CREEK COMPLEX,National Creek Complex,OR,2015,2015-08-15,2015-08-16,356.0,383.0,12,49
alloc-2015_2789124_NATIONAL CREEK COMPLEX-2015-08-24,2015_2789124_NATIONAL CREEK COMPLEX,National Creek Complex,OR,2015,2015-08-24,2015-08-25,119.0,124.0,21,49
alloc-2015_2789124_NATIONAL CREEK COMPLEX-2015-09-02,2015_2789124_NATIONAL CREEK COMPLEX,National Creek Complex,OR,2015,2015-09-02,2015-09-03,49.0,53.0,30,49
alloc-2015_2789124_NATIONAL CREEK COMPLEX-2015-09-11,2015_2789124_NATIONAL CREEK COMPLEX,National Creek Complex,OR,2015,2015-09-11,2015-09-12,170.0,152.0,39,49
alloc-2015_2789124_NATIONAL CREEK COMPLEX-2015-09-20,2015_2789124_NATIONAL CREEK COMPLEX,National Creek Complex,OR,2015,2015-09-20,2015-09-21,64.0,70.0,48,49
alloc-2015_2791829_COLLIER BUTTE-2015-08-09,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-08-09,2015-08-10,246.0,215.0,4,21
alloc-2015_2791829_COLLIER BUTTE-2015-08-12,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-08-12,2015-08-13,199.0,259.0,7,21
alloc-2015_2791829_COLLIER BUTTE-2015-08-15,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-08-15,2015-08-16,162.0,197.0,10,21
alloc-2015_2791829_COLLIER BUTTE-2015-08-18,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-08-18,2015-08-19,140.0,150.0,13,21
alloc-2015_2791829_COLLIER BUTTE-2015-08-21,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-08-21,2015-08-22,99.0,119.0,16,21
alloc-2015_2791829_COLLIER BUTTE-2015-08-25,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-08-25,2015-08-26,80.0,83.0,20,21
alloc-2015_2791829_COLLIER BUTTE-2015-09-01,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-09-01,2015-09-02,33.0,44.0,4,17
alloc-2015_2791829_COLLIER BUTTE-2015-09-03,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-09-03,2015-09-04,38.0,37.0,6,17
alloc-2015_2791829_COLLIER BUTTE-2015-09-05,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-09-05,2015-09-06,32.0,38.0,8,17
alloc-2015_2791829_COLLIER BUTTE-2015-09-08,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-09-08,2015-09-09,31.0,32.0,11,17
alloc-2015_2791829_COLLIER BUTTE-2015-09-10,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-09-10,2015-09-11,11.0,31.0,13,17
alloc-2015_2791829_COLLIER BUTTE-2015-09-13,2015_2791829_COLLIER BUTTE,Collier Butte,OR,2015,2015-09-13,2015-09-14,11.0,11.0,16,17
alloc-2015_2793883_HAY SLOUGH-2015-07-14,2015_2793883_HAY SLOUGH,Hay Slough,AK,2015,2015-07-14,2015-07-15,15.0,15.0,4,12
alloc-2015_2793883_HAY SLOUGH-2015-07-15,2015_2793883_HAY SLOUGH,Hay Slough,AK,2015,2015-07-15,2015-07-16,15.0,15.0,5,12
alloc-2015_2793883_HAY SLOUGH-2015-07-16,2015_2793883_HAY SLOUGH,Hay Slough,AK,2015,2015-07-16,2015-07-17,15.0,15.0,6,12
alloc-2015_2793883_HAY SLOUGH-2015-07-18,2015_2793883_HAY SLOUGH,Hay Slough,AK,2015,2015-07-18,2015-07-19,10.0,15.0,8,12
alloc-2015_2793883_HAY SLOUGH-2015-07-19,2015_2793883_HAY SLOUGH,Hay Slough,AK,2015,2015-07-19,2015-07-20,10.0,10.0,9,12
alloc-2015_2793883_HAY SLOUGH-2015-07-21,2015_2793883_HAY SLOUGH,Hay Slough,AK,2015,2015-07-21,2015-07-22,10.0,10.0,11,12
alloc-2015_2794525_BAKER-2015-06-30,2015_2794525_BAKER,Baker,AK,2015,2015-06-30,2015-07-01,87.0,86.0,4,12
alloc-2015_2794525_BAKER-2015-07-01,2015_2794525_BAKER,Baker,AK,2015,2015-07-01,2015-07-02,90.0,87.0,5,12
alloc-2015_2794525_BAKER-2015-07-02,2015_2794525_BAKER,Baker,AK,2015,2015-07-02,2015-07-03,88.0,90.0,6,12
alloc-2015_2794525_BAKER-2015-07-04,2015_2794525_BAKER,Baker,AK,2015,2015-07-04,2015-07-05,96.0,75.0,8,12
alloc-2015_2794525_BAKER-2015-07-05,2015_2794525_BAKER,Baker,AK,2015,2015-07-05,2015-07-06,97.0,96.0,9,12
alloc-2015_2794525_BAKER-2015-07-07,2015_2794525_BAKER,Baker,AK,2015,2015-07-07,2015-07-08,95.0,97.0,11,12
alloc-2015_2794525_BAKER-2015-07-13,2015_2794525_BAKER,Baker,AK,2015,2015-07-13,2015-07-14,86.0,80.0,4,13
alloc-2015_2794525_BAKER-2015-07-14,2015_2794525_BAKER,Baker,AK,2015,2015-07-14,2015-07-15,83.0,86.0,5,13
alloc-2015_2794525_BAKER-2015-07-16,2015_2794525_BAKER,Baker,AK,2015,2015-07-16,2015-07-17,83.0,84.0,7,13
alloc-2015_2794525_BAKER-2015-07-17,2015_2794525_BAKER,Baker,AK,2015,2015-07-17,2015-07-18,89.0,83.0,8,13
alloc-2015_2794525_BAKER-2015-07-19,2015_2794525_BAKER,Baker,AK,2015,2015-07-19,2015-07-20,65.0,87.0,10,13
alloc-2015_2794525_BAKER-2015-07-21,2015_2794525_BAKER,Baker,AK,2015,2015-07-21,2015-07-22,63.0,62.0,12,13
alloc-2015_2797980_NEWBY LAKE LONG DRAW-2015-07-06,2015_2797980_NEWBY LAKE LONG DRAW,NEWBY LAKE,WA,2015,2015-07-06,2015-07-07,105.0,105.0,4,15
alloc-2015_2797980_NEWBY LAKE LONG DRAW-2015-07-08,2015_2797980_NEWBY LAKE LONG DRAW,NEWBY LAKE,WA,2015,2015-07-08,2015-07-09,239.0,198.0,6,15
alloc-2015_2797980_NEWBY LAKE LONG DRAW-2015-07-10,2015_2797980_NEWBY LAKE LONG DRAW,NEWBY LAKE,WA,2015,2015-07-10,2015-07-11,344.0,318.0,8,15
alloc-2015_2797980_NEWBY LAKE LONG DRAW-2015-07-12,2015_2797980_NEWBY LAKE LONG DRAW,NEWBY LAKE,WA,2015,2015-07-12,2015-07-13,339.0,372.0,10,15
alloc-2015_2797980_NEWBY LAKE LONG DRAW-2015-07-14,2015_2797980_NEWBY LAKE LONG DRAW,NEWBY LAKE,WA,2015,2015-07-14,2015-07-15,262.0,271.0,12,15
alloc-2015_2797980_NEWBY LAKE LONG DRAW-2015-07-16,2015_2797980_NEWBY LAKE LONG DRAW,NEWBY LAKE,WA,2015,2015-07-16,2015-07-17,235.0,210.0,14,15
alloc-2015_2798116_AGGIE CREEK-2015-06-28,2015_2798116_AGGIE CREEK,Aggie Creek,AK,2015,2015-06-28,2015-06-29,126.0,119.0,4,33
alloc-2015_2798116_AGGIE CREEK-2015-07-03,2015_2798116_AGGIE CREEK,Aggie Creek,AK,2015,2015-07-03,2015-07-04,184.0,186.0,9,33
alloc-2015_2798116_AGGIE CREEK-2015-07-09,2015_2798116_AGGIE CREEK,Aggie Creek,AK,2015,2015-07-09,2015-07-10,216.0,214.0,15,33
alloc-2015_2798116_AGGIE CREEK-2015-07-14,2015_2798116_AGGIE CREEK,Aggie Creek,AK,2015,2015-07-14,2015-07-15,248.0,279.0,20,33
alloc-2015_2798116_AGGIE CREEK-2015-07-20,2015_2798116_AGGIE CREEK,Aggie Creek,AK,2015,2015-07-20,2015-07-21,111.0,121.0,26,33
